award_date,awardee_name,agency,award_amount,naics,sole_source,filter_result,filter_reason,first_8k_date,first_pr_date,last_dilutive_filing_date,dilutive_filing_type,agency_prior_win_count,ticker_confidence,score,ticker,market_cap,value_to_mcap_pct,entry_date,entry_price,exit_date,exit_price,exit_reason,pnl_pct,hit_tp,hit_sl,timed_out,tp_target,sl_target,return_t7,peak_pnl_pct
2023-03-31,ULTRA ELECTRONICS FORENSIC TECHNOLOGY INC.,Department of Justice,4480432.0,541990,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-29,YOUNG & RUBICAM LLC,Department of Defense,36000000.0,541810,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,PERATON RISK DECISION INC.,Department of Homeland Security,6110932.35,561611,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-24,BIXAL SOLUTIONS INCORPORATED,Agency for International Development,13998060.0,541330,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,CELERITY GOVERNMENT SOLUTIONS LLC,Department of Homeland Security,6816601.59,541511,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,"KEARNEY & COMPANY, P.C.",General Services Administration,91057107.15,541211,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-16,GHOST RX INC.,Department of Veterans Affairs,1772080.75,621111,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,"NATIONAL AIR CARGO GROUP, INC",Department of Defense,3357128.15,481112,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-21,MILE TWO LLC,General Services Administration,6023932.18,541715,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,"ALASKA AIRLINES, INC.",Department of Defense,1283056.74,481112,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-21,ONEILL CONTRACTORS INC,Department of Defense,2387028.3,237990,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-16,CARRIGG COMMERCIAL BUILDERS LLC,Department of Veterans Affairs,2653200.0,236220,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,"KBR SERVICES, LLC",Department of Defense,8155135.17,561210,False,fail,Historical market cap $6714M exceeds $1000M limit,,,,,0,high,,,,,,,,,,,,,,,,,
2023-03-29,THE MITRE CORPORATION,Department of Homeland Security,32855537.82,541715,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-28,"CHENEGA SECURITY INTERNATIONAL, LLC",Department of Defense,5982258.8,541330,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-23,SERCO INC,Department of Defense,49030003.89,541330,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-21,METRO MACHINE CORP,Department of Defense,45266692.02,336611,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
