trades,win_rate,avg_pnl_pct,total_pnl_pct,expectancy,profit_factor,avg_win,avg_loss,avg_peak_pnl,avg_return_t7,peak_pnl_pct,max_drawdown_pct,tp_pct,sl_pct,score_threshold,max_hold_days,max_mcap_M
23,26.1,1.087,25.01,1.0875,1.69,10.207,2.131,36.34,0.0,11.23,12.41,12.0,2.0,5,5,150
26,23.1,0.698,18.16,0.6985,1.422,10.207,2.154,32.18,0.0,11.23,12.41,12.0,2.0,5,5,200
33,27.3,0.644,21.27,0.6444,1.406,8.179,2.181,26.17,0.0,11.23,17.79,12.0,2.0,5,5,300
49,24.5,0.379,18.55,0.3786,1.218,8.621,2.295,19.14,0.0,11.23,17.5,12.0,2.0,5,5,500
81,21.0,-0.474,-38.38,-0.4739,0.756,7.006,2.461,12.16,0.0,11.23,53.24,12.0,2.0,5,5,1000
20,25.0,0.758,15.15,0.7575,1.451,9.753,2.241,41.1,0.0,11.23,10.75,12.0,2.0,5,7,100
23,26.1,0.913,21.0,0.9132,1.539,9.999,2.294,36.46,0.0,11.23,13.14,12.0,2.0,5,7,150
26,23.1,0.561,14.59,0.5613,1.321,9.999,2.27,32.29,0.0,11.23,13.14,12.0,2.0,5,7,200
33,27.3,0.574,18.96,0.5745,1.345,8.206,2.287,26.3,0.0,11.23,18.52,12.0,2.0,5,7,300
49,24.5,0.41,20.08,0.4098,1.23,8.961,2.364,19.3,0.0,11.23,19.77,12.0,2.0,5,7,500
81,21.0,-0.293,-23.77,-0.2935,0.851,8.015,2.501,12.38,0.0,11.23,47.82,12.0,2.0,5,7,1000
20,30.0,0.186,3.71,0.1857,1.15,4.75,1.77,4.95,0.0,11.23,9.43,12.0,3.0,5,1,100
23,30.4,-0.029,-0.66,-0.0287,0.98,4.499,2.009,4.81,0.0,11.23,13.11,12.0,3.0,5,1,150
26,26.9,-0.273,-7.09,-0.2727,0.816,4.499,2.031,4.26,0.0,11.23,16.79,12.0,3.0,5,1,200
33,27.3,-0.168,-5.55,-0.1682,0.876,4.348,1.862,3.89,0.0,11.23,16.23,12.0,3.0,5,1,300
49,28.6,-0.238,-11.65,-0.2377,0.84,4.366,2.079,3.8,0.0,11.23,17.28,12.0,3.0,5,1,500
81,24.7,-1.058,-85.71,-1.0581,0.447,3.461,2.54,2.67,0.0,11.23,85.71,12.0,3.0,5,1,1000
20,25.0,-0.039,-0.78,-0.0391,0.976,6.405,2.187,5.51,0.0,11.23,15.33,12.0,3.0,5,2,100
23,26.1,-0.156,-3.58,-0.1558,0.911,6.098,2.363,5.37,0.0,11.23,19.01,12.0,3.0,5,2,150
26,23.1,-0.441,-11.46,-0.4408,0.761,6.098,2.402,4.76,0.0,11.23,22.69,12.0,3.0,5,2,200
33,27.3,-0.176,-5.81,-0.1759,0.892,5.324,2.238,4.48,0.0,11.23,20.34,12.0,3.0,5,2,300
49,28.6,-0.225,-11.02,-0.2249,0.873,5.425,2.485,4.45,0.0,11.23,21.45,12.0,3.0,5,2,500
81,22.2,-1.09,-88.28,-1.0898,0.482,4.556,2.703,3.16,0.0,11.23,93.81,12.0,3.0,5,2,1000
20,25.0,0.267,5.34,0.267,1.153,8.072,2.335,6.07,0.0,11.23,15.19,12.0,3.0,5,3,100
23,26.1,0.156,3.59,0.1559,1.085,7.662,2.493,5.86,0.0,11.23,18.87,12.0,3.0,5,3,150
26,23.1,-0.153,-3.97,-0.1527,0.921,7.662,2.497,5.19,0.0,11.23,22.55,12.0,3.0,5,3,200
33,24.2,-0.271,-8.95,-0.2711,0.852,6.426,2.414,4.82,0.0,11.23,30.84,12.0,3.0,5,3,300
49,24.5,-0.338,-16.56,-0.338,0.828,6.628,2.597,4.75,0.0,11.23,30.65,12.0,3.0,5,3,500
81,22.2,-1.221,-98.92,-1.2213,0.473,4.942,2.982,3.4,0.0,11.23,104.35,12.0,3.0,5,3,1000
20,25.0,0.832,16.64,0.8318,1.47,10.401,2.358,40.87,0.0,11.23,11.71,12.0,3.0,5,4,100
23,26.1,0.891,20.5,0.8914,1.48,10.539,2.514,36.26,0.0,11.23,15.39,12.0,3.0,5,4,150
26,23.1,0.487,12.66,0.4871,1.25,10.539,2.529,32.08,0.0,11.23,15.39,12.0,3.0,5,4,200
33,27.3,0.415,13.69,0.4149,1.223,8.343,2.558,26.05,0.0,11.23,21.72,12.0,3.0,5,4,300
49,26.5,0.159,7.79,0.159,1.079,8.212,2.749,19.09,0.0,11.23,17.02,12.0,3.0,5,4,500
81,22.2,-0.927,-75.07,-0.9268,0.608,6.464,3.039,12.13,0.0,11.23,82.91,12.0,3.0,5,4,1000
20,30.0,1.306,26.12,1.3059,1.744,10.207,2.509,40.97,0.0,11.23,11.71,12.0,3.0,5,5,100
23,30.4,1.304,29.98,1.3036,1.706,10.353,2.656,36.34,0.0,11.23,15.39,12.0,3.0,5,5,150
26,26.9,0.851,22.13,0.8511,1.44,10.353,2.65,32.18,0.0,11.23,15.39,12.0,3.0,5,5,200
33,30.3,0.686,22.63,0.6857,1.364,8.484,2.705,26.17,0.0,11.23,22.76,12.0,3.0,5,5,300
49,26.5,0.206,10.08,0.2057,1.096,8.822,2.906,19.24,0.0,11.23,25.35,12.0,3.0,5,5,500
81,22.2,-0.868,-70.33,-0.8683,0.649,7.24,3.185,12.28,0.0,11.23,78.45,12.0,3.0,5,5,1000
20,30.0,1.006,20.12,1.0061,1.505,9.999,2.848,41.1,0.0,11.23,14.73,12.0,3.0,5,7,100
23,30.4,1.043,23.99,1.0429,1.508,10.175,2.952,36.46,0.0,11.23,17.12,12.0,3.0,5,7,150
26,26.9,0.6,15.59,0.5996,1.28,10.175,2.928,32.29,0.0,11.23,17.12,12.0,3.0,5,7,200
33,30.3,0.514,16.97,0.5142,1.249,8.508,2.961,26.3,0.0,11.23,24.48,12.0,3.0,5,7,300
49,28.6,0.229,11.22,0.2291,1.103,8.582,3.112,19.45,0.0,11.23,25.64,12.0,3.0,5,7,500
81,23.5,-0.702,-56.89,-0.7023,0.724,7.835,3.319,12.54,0.0,11.23,68.31,12.0,3.0,5,7,1000
20,30.0,0.037,0.73,0.0365,1.026,4.75,1.983,4.95,0.0,11.23,10.43,12.0,4.0,5,1,100
23,30.4,-0.245,-5.63,-0.2447,0.848,4.499,2.32,4.81,0.0,11.23,15.1,12.0,4.0,5,1,150
26,26.9,-0.502,-13.05,-0.5021,0.707,4.499,2.344,4.26,0.0,11.23,19.78,12.0,4.0,5,1,200
